Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,ref,,predict ao,,,lattice parameter,??o,??enp,??ea,??valence,??ionr,??H,??T
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,25,3.015,Vladimir2019,,4.045609128,,,,,,,,,,
50.6,49.4,0,0,0,0,1.73228,0.623962,7.036,0.9418,0.7147,1.3747,1.62338,-34.99496,5.762227037,0.018184477,25,3.013,Vladimir2019,,4.05625099,,,,,,,,,,
49,50,0,1,0,0,1.7296,0.61255,6.99,0.9395,0.7171,1.375,1.6253,-34.86,6.170374253,0.018181818,25,3.014,Vladimir2019,,4.044386122,,,,,,,,,,
46,50,0,4,0,0,1.7284,0.5977,6.96,0.938,0.7234,1.375,1.6262,-34.44,6.921669938,0.018181818,25,3.013,Vladimir2019,,4.040717103,,,,,,,,,,
45,50,0,5,0,0,1.728,0.59275,6.95,0.9375,0.7255,1.375,1.6265,-34.3,7.11419558,0.018181818,25,3.012,Vladimir2019,,4.039494097,,,,,,,,,,
45,50,0,0,5,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,70,3.027,Vladimir2019,,4.067693702,,,,,,,,,,
42.5,50,0,0,7.5,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,0.018181818,55,3.03,Vladimir2019,,4.074161525,,,,,,,,,,
42.5,50,0,0,7.5,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,0.018181818,55,3.03,Vladimir2019,,4.074161525,,,,,,,,,,
40,50,0,0,10,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,60,3.031,Vladimir2019,,4.083087855,,,,,,,,,,
40,50,0,0,10,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,60,3.031,Vladimir2019,,4.083087855,,,,,,,,,,
37.5,50,0,0,12.5,0,1.7275,0.6265,7.125,0.95375,0.72,1.375,1.62,-27.75,8.100452855,0.018181818,60,3.034,Vladimir2019,,4.091412609,,,,,,,,,,
35,50,0,0,15,0,1.727,0.6283,7.15,0.9565,0.721,1.375,1.619,-26.36,8.302188563,0.018181818,60,3.043,Vladimir2019,,4.099747803,,,,,,,,,,
30,50,0,0,20,0,1.726,0.6319,7.2,0.962,0.723,1.375,1.617,-23.64,8.560535159,0.018181818,70,3.046,Vladimir2019,,4.117673546,,,,,,,,,,
51.2,23.4,25.4,0,0,0,1.67868,0.610358,7.072,0.93979,0.73726,1.4125,1.70304,-38.621184,8.569281587,0.058546361,25,3.083,L. Patriarca2016,,4.12083855,,,,,,,,,,
47,53,0,0,0,0,1.7186,0.58519,6.82,0.931,0.7165,1.3765,1.6331,-34.874,5.747851467,0.018129284,66,3.0182,S.D. Prokoshkin2008,,3.997339427,,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,68,3.0182,S.D. Prokoshkin2008,,4.050872471,,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-20,3.0104,S.D. Prokoshkin2008,,4.052515972,,,,,,,,,,
51.7,48.3,0,0,0,0,1.73646,0.635809,7.102,0.9451,0.71415,1.37415,1.62041,-34.95954,5.758019241,0.018182546,-60,3.0058,S.D. Prokoshkin2008,,4.06534312,,,,,,,,,,
45,50,0,0,5,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,25,3.022,K.N. Melton,,4.062185553,,,,,,,,,,
40,50,0,0,10,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,25,3.03,K.N. Melton,,4.078803739,,,,,,,,,,
35,50,0,0,15,0,1.727,0.6283,7.15,0.9565,0.721,1.375,1.619,-26.36,8.302188563,0.018181818,25,3.02,K.N. Melton,,4.095463687,,,,,,,,,,
30,50,0,0,20,0,1.726,0.6319,7.2,0.962,0.723,1.375,1.617,-23.64,8.560535159,0.018181818,25,3.016,K.N. Melton,,4.112165396,,,,,,,,,,
25,50,0,0,25,0,1.725,0.6355,7.25,0.9675,0.725,1.375,1.615,-21,8.644238489,0.018181818,25,3.04,K.N. Melton,,4.128908867,,,,,,,,,,
49.8,40.7,9.5,0,0,0,1.70834,0.607841,6.988,0.937975,0.72365,1.38935,1.65594,-36.32412,7.787484103,0.041152947,88.8041,3.056648,P.L. Potapov1997,,4.070029574,,,,,,,,,,
49.8,40.7,9.5,0,0,0,1.70834,0.607841,6.988,0.937975,0.72365,1.38935,1.65594,-36.32412,7.787484103,0.041152947,141.5998,3.057113,P.L. Potapov1997,,4.076491943,,,,,,,,,,
49.8,40.7,9.5,0,0,0,1.70834,0.607841,6.988,0.937975,0.72365,1.38935,1.65594,-36.32412,7.787484103,0.041152947,201.5096,3.058433,P.L. Potapov1997,,4.083825102,,,,,,,,,,
49.8,40.7,9.5,0,0,0,1.70834,0.607841,6.988,0.937975,0.72365,1.38935,1.65594,-36.32412,7.787484103,0.041152947,252.2842,3.059998,P.L. Potapov1997,,4.090040081,,,,,,,,,,
49.8,35.2,15,0,0,0,1.69624,0.603496,6.988,0.93715,0.7286,1.3976,1.67354,-37.09104,8.308038635,0.048603461,132.1658,3.081993,P.L. Potapov1997,,4.08700823,,,,,,,,,,
49.8,35.2,15,0,0,0,1.69624,0.603496,6.988,0.93715,0.7286,1.3976,1.67354,-37.09104,8.308038635,0.048603461,179.8782,3.081609,P.L. Potapov1997,,4.092848387,,,,,,,,,,
49.8,35.2,15,0,0,0,1.69624,0.603496,6.988,0.93715,0.7286,1.3976,1.67354,-37.09104,8.308038635,0.048603461,260.0954,3.083279,P.L. Potapov1997,,4.102667238,,,,,,,,,,
49.8,30.2,20,0,0,0,1.68524,0.599546,6.988,0.9364,0.7331,1.4051,1.68954,-37.78824,8.568940563,0.053821083,179.5814,3.107,P.L. Potapov1997,,4.103422094,,,,,,,,,,
49.8,30.2,20,0,0,0,1.68524,0.599546,6.988,0.9364,0.7331,1.4051,1.68954,-37.78824,8.568940563,0.053821083,260.3062,3.108,P.L. Potapov1997,,4.113303077,,,,,,,,,,
49.8,30.2,20,0,0,0,1.68524,0.599546,6.988,0.9364,0.7331,1.4051,1.68954,-37.78824,8.568940563,0.053821083,330.8761,3.11,P.L. Potapov1997,,4.121941067,,,,,,,,,,
50,30,0,0,0,20,1.688,0.6869,7,0.934,0.735,1.405,1.685,-52.36,8.560535159,0.053853188,200,3.112,A. Evirgen2016,,4.15698143,,,,,,,,,,
50,30,20,0,0,0,1.686,0.6017,7,0.937,0.733,1.405,1.689,-37.8,8.560535159,0.053853188,200,3.1,A. Evirgen2016,,4.109475701,,,,,,,,,,
50,40.5,9.5,0,0,0,1.7091,0.609995,7,0.938575,0.72355,1.38925,1.6554,-36.33,7.784054523,0.041173908,200,3.052,A. Evirgen2016,,4.087191555,,,,,,,,,,
