Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,b,c,beta,ref,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0565,4.0836,4.8866,103.4,O. Benafan2021 ,3.0958,0.987305381,0.932728617,1.116140577,0.932728617,0.906184878,1.035180821,-0.000141609,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0478,4.0825,4.8714,103.2,O. Benafan2021 ,3.0937,0.985163397,0.933110332,1.113424047,0.933110332,0.905971549,1.034175434,-0.003509835,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0528,4.0782,4.8772,103.2,O. Benafan2021 ,3.0941,0.986652015,0.932007005,1.114605602,0.932007005,0.907233023,1.032952606,-0.002126339,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0466,4.0821,4.8712,103.3,O. Benafan2021 ,3.0937,0.984775512,0.933018907,1.113378334,0.933018907,0.904792432,1.034788946,-0.004449894,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0529,4.1029,4.8666,103.27,O. Benafan2021 ,3.0934,0.98690761,0.937863972,1.112434816,0.937863972,0.906297935,1.03994701,0.002160513,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0508,4.1148,4.8666,103.19,O. Benafan2021 ,3.0937,0.986133109,0.940492932,1.112326942,0.940492932,0.906481271,1.042285542,0.004413309,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0491,4.1172,4.8595,103.15,O. Benafan2021 ,3.0921,0.986093593,0.941528424,1.111278873,0.941528424,0.906590318,1.043144311,0.004695605,0.118 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0282,4.0835,4.8347,102.79,O. Benafan2021 ,3.0786,0.983628922,0.937916761,1.110455777,0.937916761,0.907991678,1.036547949,-0.000954641,0.117 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0539,4.0972,4.8658,103.25,O. Benafan2021 ,3.0934,0.987230879,0.936561034,1.112251948,0.936561034,0.906657451,1.038358757,0.001013832,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0557,4.0759,4.8848,103.25,O. Benafan2021 ,3.0973,0.986568947,0.93051901,1.115189102,0.93051901,0.906848023,1.031660006,-0.003486249,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0485,4.1407,4.8703,103.21,O. Benafan2021 ,3.0931,0.985580809,0.946596311,1.11338856,0.946596311,0.906155847,1.049194638,0.011246822,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0554,4.1037,4.8685,103.24,O. Benafan2021 ,3.0935,0.987683853,0.938016518,1.112833155,0.938016518,0.907180225,1.039900571,0.003594853,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0444,4.0959,4.8445,103.2,O. Benafan2021 ,3.0917,0.984700974,0.936778687,1.107991979,0.936778687,0.904479155,1.038241107,-0.004940296,0.121 
